Curvulaviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Duplopiviricetes,o;Durnavirales,f;Curvulaviridae
Fusariviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Duplopiviricetes,o;Durnavirales,f;Fusariviridae
Hypoviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Duplopiviricetes,o;Durnavirales,f;Hypoviridae
Partitiviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Duplopiviricetes,o;Durnavirales,f;Partitiviridae
Arteriviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Nidovirales,so;Arnidovirineae,f;Arteriviridae
Coronaviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Nidovirales,so;Cornidovirineae,f;Coronaviridae
Mesoniviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Nidovirales,so;Mesnidovirineae,f;Mesoniviridae
Tobaniviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Nidovirales,so;Tornidovirineae,f;Tobaniviridae
Caliciviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Picornavirales,f;Caliciviridae
Dicistroviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Picornavirales,f;Dicistroviridae
Iflaviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Picornavirales,f;Iflaviridae
Marnaviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Picornavirales,f;Marnaviridae
Picornaviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Picornavirales,f;Picornaviridae
Polycipiviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Picornavirales,f;Polycipiviridae
Secoviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Picornavirales,f;Secoviridae
Solemoviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Pisoniviricetes,o;Sobelivirales,f;Solemoviridae
Potyviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Stelpaviricetes,o;Patatavirales,f;Potyviridae
Astroviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Stelpaviricetes,o;Stellavirales,f;Astroviridae
Yadokariviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,o;Yadokarivirales,f;Yadokariviridae
Birnaviridae	r;Riboviria,k;Orthornavirae,f;Birnaviridae
Hepadnaviridae	r;Riboviria,k;Pararnavirae,p;Artverviricota,c;Revtraviricetes,o;Blubervirales,f;Hepadnaviridae
